name,Date,stars
Pita Jungle,2007-09-26,3
Pita Jungle,2007-02-27,3
Pita Jungle,2015-05-08,5
Pita Jungle,2015-03-26,4
Pita Jungle,2012-08-05,5
Pita Jungle,2014-09-06,5
Pita Jungle,2009-10-11,3
Pita Jungle,2014-12-13,5
Pita Jungle,2010-04-03,2
Pita Jungle,2011-12-18,5
Pita Jungle,2011-01-23,4
Pita Jungle,2013-08-16,5
Pita Jungle,2009-04-26,5
Pita Jungle,2015-07-09,4
Pita Jungle,2013-02-06,4
Pita Jungle,2012-04-30,4
Pita Jungle,2010-02-04,5
Pita Jungle,2015-01-07,5
Pita Jungle,2011-04-07,5
Pita Jungle,2010-05-06,4
Pita Jungle,2008-05-07,4
Pita Jungle,2015-03-08,3
Pita Jungle,2012-09-05,5
Pita Jungle,2012-06-19,5
Pita Jungle,2015-04-27,3
Pita Jungle,2015-10-12,5
Pita Jungle,2011-11-28,4
Pita Jungle,2014-01-26,2
Pita Jungle,2011-03-06,4
Pita Jungle,2013-04-24,5
Pita Jungle,2010-10-26,4
Pita Jungle,2009-07-19,4
Pita Jungle,2009-05-09,3
Pita Jungle,2011-02-18,5
Pita Jungle,2012-01-24,5
Pita Jungle,2012-04-09,4
Pita Jungle,2015-09-13,4
Pita Jungle,2009-03-10,4
Pita Jungle,2011-06-27,4
Pita Jungle,2013-01-16,5
Pita Jungle,2015-07-20,4
Pita Jungle,2008-04-10,3
Pita Jungle,2014-01-15,3
Pita Jungle,2009-12-15,2
Pita Jungle,2013-02-12,5
Pita Jungle,2013-07-04,4
Pita Jungle,2010-07-03,4
Pita Jungle,2008-11-06,4
Pita Jungle,2010-10-27,4
Pita Jungle,2010-08-26,4
Pita Jungle,2013-06-27,1
Pita Jungle,2013-05-16,5
Pita Jungle,2008-07-30,3
Pita Jungle,2011-07-23,5
Pita Jungle,2014-03-15,4
Pita Jungle,2011-05-25,4
Pita Jungle,2011-05-08,4
Pita Jungle,2015-04-07,5
Pita Jungle,2010-03-05,4
Pita Jungle,2012-01-10,5
Pita Jungle,2011-09-02,4
Pita Jungle,2010-08-27,2
Pita Jungle,2012-07-07,2
Pita Jungle,2009-02-17,5
Pita Jungle,2012-06-01,4
Pita Jungle,2009-01-30,4
Pita Jungle,2007-09-20,1
Pita Jungle,2009-06-10,3
Pita Jungle,2013-11-07,1
Pita Jungle,2015-10-10,5
Pita Jungle,2012-10-14,4
Pita Jungle,2009-08-07,4
Pita Jungle,2012-03-02,5
Pita Jungle,2009-11-11,5
Pita Jungle,2010-01-19,4
Pita Jungle,2014-09-05,5
Pita Jungle,2012-07-24,4
Pita Jungle,2015-04-17,4
Pita Jungle,2014-03-22,5
Pita Jungle,2010-03-02,1
Pita Jungle,2010-08-29,3
Pita Jungle,2010-10-14,3
Pita Jungle,2013-09-19,3
Pita Jungle,2010-07-07,5
Pita Jungle,2010-09-07,4
Pita Jungle,2009-05-03,4
Pita Jungle,2011-07-05,5
Pita Jungle,2012-01-06,5
Pita Jungle,2010-03-30,5
Pita Jungle,2013-09-05,3
Pita Jungle,2014-11-13,4
Pita Jungle,2013-03-26,4
Pita Jungle,2011-01-25,3
Pita Jungle,2015-08-05,5
Pita Jungle,2015-11-04,5
Pita Jungle,2013-04-11,5
Pita Jungle,2007-09-18,4
Pita Jungle,2012-09-26,5
Pita Jungle,2013-10-10,1
Pita Jungle,2015-04-10,5
Pita Jungle,2009-06-14,5
Pita Jungle,2011-02-24,4
Pita Jungle,2010-07-06,4
Pita Jungle,2015-06-23,4
Pita Jungle,2009-05-03,4
Pita Jungle,2012-07-04,4
Pita Jungle,2015-06-10,4
Pita Jungle,2011-01-21,4
Pita Jungle,2011-04-19,4
Pita Jungle,2010-02-21,2
Pita Jungle,2010-04-08,4
Pita Jungle,2009-03-24,4
Pita Jungle,2011-09-11,5
Pita Jungle,2013-05-14,5
Pita Jungle,2011-09-16,4
Pita Jungle,2015-03-13,4
Pita Jungle,2013-12-23,5
Pita Jungle,2010-01-26,5
Pita Jungle,2012-10-21,4
Pita Jungle,2013-10-30,1
Pita Jungle,2011-12-19,4
Pita Jungle,2009-05-25,5
Pita Jungle,2013-07-11,5
Pita Jungle,2013-04-11,5
Pita Jungle,2010-03-08,4
Pita Jungle,2015-05-23,3
Pita Jungle,2015-02-03,3
Pita Jungle,2015-04-13,5
Pita Jungle,2014-08-04,5
Pita Jungle,2010-03-05,1
Pita Jungle,2015-02-06,5
Pita Jungle,2011-08-24,3
Pita Jungle,2009-01-26,4
Pita Jungle,2011-09-08,4
Pita Jungle,2008-04-24,4
Pita Jungle,2006-10-22,3
Pita Jungle,2006-09-04,4
Pita Jungle,2010-12-07,5
Pita Jungle,2011-06-13,5
Pita Jungle,2006-10-09,4
Pita Jungle,2010-09-06,4
Pita Jungle,2015-09-13,4
Pita Jungle,2012-12-09,2
Pita Jungle,2011-05-20,4
Pita Jungle,2009-02-24,3
Pita Jungle,2015-02-01,5
Pita Jungle,2012-03-07,3
Pita Jungle,2011-08-16,4
Pita Jungle,2014-04-27,5
Pita Jungle,2009-09-08,3
Pita Jungle,2010-05-27,1
Pita Jungle,2011-01-09,3
Pita Jungle,2012-04-29,4
Pita Jungle,2010-01-11,3
Pita Jungle,2011-09-14,4
Pita Jungle,2009-08-25,3
Pita Jungle,2013-07-21,4
Pita Jungle,2012-09-14,3
Pita Jungle,2010-12-01,5
Pita Jungle,2009-02-08,4
Pita Jungle,2010-09-22,5
Pita Jungle,2015-04-10,5
Pita Jungle,2011-06-08,4
Pita Jungle,2011-11-01,5
Pita Jungle,2010-07-02,4
Pita Jungle,2013-01-06,1
Pita Jungle,2008-09-28,4
Pita Jungle,2013-03-07,5
Pita Jungle,2012-02-29,5
Pita Jungle,2010-08-12,5
Pita Jungle,2011-06-15,5
Pita Jungle,2011-04-08,3
Pita Jungle,2014-04-26,4
Pita Jungle,2012-08-29,4
Pita Jungle,2015-07-07,5
Pita Jungle,2014-01-31,5
Pita Jungle,2010-09-28,5
Pita Jungle,2011-12-01,4
Pita Jungle,2012-01-26,4
Pita Jungle,2015-07-24,5
Pita Jungle,2014-08-28,4
Pita Jungle,2010-09-02,5
Pita Jungle,2010-04-21,5
Pita Jungle,2009-07-11,5
Pita Jungle,2011-09-07,4
Pita Jungle,2012-04-19,5
Pita Jungle,2013-05-28,5
Pita Jungle,2006-09-02,4
Pita Jungle,2015-09-11,5
Pita Jungle,2007-02-21,3
Pita Jungle,2010-10-09,4
Pita Jungle,2015-02-17,1
Pita Jungle,2011-10-02,5
Pita Jungle,2013-07-09,1
Pita Jungle,2010-03-31,5
Pita Jungle,2015-10-25,1
Pita Jungle,2011-12-23,4
Pita Jungle,2015-04-26,4
Pita Jungle,2015-06-10,1
Pita Jungle,2011-05-03,5
Pita Jungle,2010-04-07,4
Pita Jungle,2010-04-09,4
Pita Jungle,2011-08-16,3
Pita Jungle,2012-06-06,5
Pita Jungle,2011-02-04,5
Pita Jungle,2011-02-09,2
Pita Jungle,2010-04-12,5
Pita Jungle,2008-05-10,5
Pita Jungle,2010-07-30,5
Pita Jungle,2010-06-02,5
Pita Jungle,2011-08-22,4
Pita Jungle,2009-09-15,3
Pita Jungle,2013-06-10,3
Pita Jungle,2014-06-15,5
Pita Jungle,2011-09-14,5
Pita Jungle,2012-05-15,4
Pita Jungle,2014-04-28,5
Pita Jungle,2010-08-24,5
Pita Jungle,2010-08-14,4
Pita Jungle,2015-10-24,5
Pita Jungle,2014-03-16,5
Pita Jungle,2014-01-15,4
Pita Jungle,2010-02-22,5
Pita Jungle,2007-08-02,5
Pita Jungle,2010-03-02,4
Pita Jungle,2009-04-14,4
Pita Jungle,2008-11-10,2
Pita Jungle,2009-07-23,5
Pita Jungle,2011-03-03,5
Pita Jungle,2010-08-13,4
Pita Jungle,2013-09-20,1
Pita Jungle,2009-05-15,3
Pita Jungle,2010-08-27,4
Pita Jungle,2013-01-03,5
Pita Jungle,2010-04-07,3
Pita Jungle,2013-03-07,3
Pita Jungle,2011-04-09,4
Pita Jungle,2010-04-01,4
Pita Jungle,2015-02-12,4
Pita Jungle,2013-06-05,5
Pita Jungle,2014-11-29,5
Pita Jungle,2013-08-08,2
Pita Jungle,2014-03-25,5
