City,Count of Business Id,Review Count per Document
Youngtown,9,214
York,51,700
Woodmere Village,1,256
Woodmere,18,1932
Woodbridge,81,1614
Wolfschlugen,1,3
Windsor,4,99
Wilmerding,7,57
Willowick,24,396
Willowdale,2,11
Willoughby Hills,14,330
Willoughby,99,2441
Wilkinsburg,4,42
Wilkins Township,1,53
Wilkens Township,1,3
Wickliffe,19,204
WICKLIFFE,7,155
Whtiby,2,10
White Oak,15,189
Whitchurch-Stouffville,27,524
Whitby,184,2141
Whiitby,1,12
Wexford,59,1882
Wethau,1,8
Westmount,40,626
Westlake,121,4607
West View,5,154
West Mifflin,39,575
West Homestead,7,446
West Elizabeth,2,6
West Akron,1,85
Wesley Chapel,7,325
Weddington,2,29
Waxhaw,43,1161
Waunakee,22,474
Warrensville Hts.,1,34
Warrensville Heights,15,471
Warrensvile Heights,1,14
Walton Hills,1,58
Waiblingen,33,280
Waddell,1,21
Vimont,3,39
Villa Grove,1,6
Verona,55,1306
Verdun,86,1208
Venetia,1,34
Vaughan,411,9475
Vaudreuil-Dorion,36,174
Varennes,1,3
Vanier,4,28
Valley View,12,781
Valley City,7,178
Urbana,117,4932
Upper St Clair,2,95
Upper Saint Clair,4,171
University Heights,14,598
Unionville,23,1096
Twinsburg,46,1110
Tuscola,16,211
Turtle Creek,10,141
Troy Township,1,10
Tremont,1,271
Tranent,1,3
Trafford,12,128
Township of Concord,1,3
Tottenham,1,11
toronto,1,46
Toronto,7148,303757
Tornto,1,122
Topaz,1,20
Tolono,1,8
Tolleson,32,1179
Tigre,1,6
Thornhill,143,5257
Thornhil,1,17
Thorncliffe Park,1,11
Terrebonne,12,52
Tempe,962,93183
Tega Cay,12,524
Tallmadge,23,407
Swissvale,3,21
Surprise,207,14263
Sun Prairie,74,2114
Sun Lakes,9,194
Sun City West,14,300
Sun City,45,1106
Summerlin South,1,3
Summerlin,1,593
Stuttgart-Vaihingen,1,36
Stuttgart,1050,17875
Sturgeon,1,3
Strongsville,113,3820
Streetsville,1,5
Streetsboro,43,916
Stowe,2,33
Stow,79,1801
Stoughton,38,662
Stouffville,25,311
Stoney Creek,2,22
Stockbridge,3,75
Stetten,1,4
Steinenbronn,6,27
Ste-Therese-de-Blainville,1,3
Ste-Rose,1,18
Stanley,10,83
Stallings,12,360
St-Leonard,3,17
St-Lazare-de-Vaudreuil,1,6
St-Laurent,1,3
St-Jerome,2,24
St-Jean-sur-Richelieu,1,3
St-Clet,1,3
St-Bruno-de-Montarville,2,12
St-Benoît de Mirabel,1,57
St Leonard,1,9
St Joseph,1,28
Squirrel Hill,1,16
Springfield,1,3
Springdale,8,180
Springbrook,1,3
Spring Valley,4,1092
Spring Hill City View,1,5
South Queensferry,4,36
South Park Township,2,64
South Park,6,73
South Las Vegas,2,449
South Gyle,1,6
South Euclid,27,597
South Amherst,1,10
Solon,73,2424
Sindelfingen/Eichholz,1,6
Sindelfingen,81,854
Shorewood Hills,1,27
Sheffield Village,11,176
Sheffield Lake,7,46
Sheffield,2,78
Sharpsburg,3,137
Shaler Township,2,42
Shaker Heights,19,369
Shadyside,1,23
Sewickley,35,916
Seven Hills,11,472
Scottsdale,1451,179008
Scottdale,2,438
